timestamp,open,high,low,close
2018-09-07,0.19880000,0.20078000,0.18717000,0.18925000
2018-09-08,0.19167000,0.19707000,0.18128000,0.18676000
2018-09-09,0.18257000,0.19931000,0.18257000,0.18848000
2018-09-10,0.18400000,0.19005000,0.17930000,0.18010000
2018-09-11,0.18106000,0.18594000,0.16726000,0.16756000
2018-09-12,0.16505000,0.20671000,0.16069000,0.19591000
2018-09-13,0.19591000,0.19694000,0.17856000,0.19101000
2018-09-14,0.18303000,0.18632000,0.17043000,0.17930000
2018-09-15,0.17514000,0.17728000,0.16693000,0.16693000
2018-09-16,0.17143000,0.17982000,0.16578000,0.17982000
2018-09-17,0.18050000,0.19226000,0.17299000,0.18149000
2018-09-18,0.17805000,0.19694000,0.17500000,0.19019000
2018-09-19,0.18866000,0.18866000,0.17214000,0.17500000
2018-09-20,0.17500000,0.18048000,0.17500000,0.18000000
2018-09-21,0.17690000,0.22578000,0.16000000,0.19153000
2018-09-22,0.19315000,0.21193000,0.18602000,0.19079000
2018-09-23,0.19468000,0.19469000,0.18721000,0.18824000
2018-09-24,0.19367000,0.20483000,0.18372000,0.19167000
2018-09-25,0.18255000,0.18559000,0.17356000,0.18317000
2018-09-26,0.18311000,0.18780000,0.17745000,0.18744000
2018-09-27,0.18680000,0.19314000,0.18038000,0.18261000
2018-09-28,0.18285000,0.19743000,0.18000000,0.18873000
2018-09-29,0.18587000,0.19919000,0.17878000,0.19337000
2018-09-30,0.19638000,0.20131000,0.18895000,0.19188000
2018-10-01,0.19493000,0.19593000,0.18779000,0.19263000
2018-10-02,0.19341000,0.20119000,0.18206000,0.18589000
2018-10-03,0.18734000,0.18734000,0.17907000,0.18398000
2018-10-04,0.18225000,0.19784000,0.18225000,0.19094000
2018-10-05,0.19094000,0.21300000,0.19094000,0.20325000
2018-10-06,0.19390000,0.20323000,0.19390000,0.19411000
2018-10-07,0.19408000,0.19785000,0.19160000,0.19567000
2018-10-08,0.19131000,0.20660000,0.18694000,0.20019000
2018-10-09,0.20603000,0.20603000,0.19500000,0.20253000
2018-10-10,0.20196000,0.20723000,0.19816000,0.20203000
2018-10-11,0.20161000,0.20161000,0.17355000,0.18605000
2018-10-12,0.18490000,0.19427000,0.18196000,0.18573000
2018-10-13,0.19000000,0.19687000,0.18571000,0.18928000
2018-10-14,0.18900000,0.19882000,0.18643000,0.19754000
2018-10-15,0.19061000,0.19884000,0.18050000,0.18361000
2018-10-16,0.18255000,0.19906000,0.18255000,0.19831000
2018-10-17,0.19484000,0.21419000,0.19171000,0.20467000
2018-10-18,0.20471000,0.20973000,0.19308000,0.19508000
2018-10-19,0.19843000,0.20172000,0.19502000,0.19956000
2018-10-20,0.20038000,0.20395000,0.19730000,0.20220000
2018-10-21,0.20361000,0.21475000,0.19999000,0.20932000
2018-10-22,0.20932000,0.24263000,0.20693000,0.23988000
2018-10-23,0.23819000,0.24723000,0.22523000,0.24334000
2018-10-24,0.24485000,0.24770000,0.22811000,0.22948000
2018-10-25,0.23047000,0.29460000,0.21844000,0.26336000
2018-10-26,0.26638000,0.28398000,0.25500000,0.26675000
2018-10-27,0.26680000,0.27492000,0.25771000,0.26204000
2018-10-28,0.25794000,0.33146000,0.25794000,0.29168000
2018-10-29,0.29212000,0.34546000,0.26601000,0.27530000
2018-10-30,0.27467000,0.30447000,0.27467000,0.29196000
2018-10-31,0.28614000,0.34998000,0.24918000,0.26566000
2018-11-01,0.27265000,0.27935000,0.26457000,0.26620000
2018-11-02,0.26795000,0.27601000,0.25294000,0.25294000
2018-11-03,0.25682000,0.25984000,0.24825000,0.25020000
2018-11-04,0.25010000,0.25172000,0.23079000,0.23888000
